time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2019-07-01,IT,92,65,31,0,4,16,7
2019-08-01,IT,85,50,29,0,0,6,4
2019-09-01,IT,89,42,32,0,0,5,0
2019-10-01,IT,78,40,18,4,0,8,0
2019-11-01,IT,50,29,22,0,0,5,0
2019-12-01,IT,44,31,19,0,4,0,0
2020-01-01,IT,43,32,21,2,0,6,0
2020-02-01,IT,80,52,38,0,0,4,0
2020-03-01,IT,83,83,100,0,8,0,0
2020-04-01,IT,38,40,42,0,4,0,3
2020-05-01,IT,32,32,30,0,0,3,0
2020-06-01,IT,34,40,27,0,7,11,0
2020-07-01,IT,43,69,50,4,4,5,6
2020-08-01,IT,45,92,69,0,0,9,5
2020-09-01,IT,41,71,48,0,4,0,5
2020-10-01,IT,35,51,41,0,0,0,3
2020-11-01,IT,22,18,14,0,5,0,0
2020-12-01,IT,21,16,12,0,0,0,0
2021-01-01,IT,21,17,11,0,0,0,0
2021-02-01,IT,22,22,14,0,0,0,5
2021-03-01,IT,21,20,14,2,0,5,0
2021-04-01,IT,24,22,17,0,5,3,0
2021-05-01,IT,28,42,27,3,4,5,0
2021-06-01,IT,37,59,37,0,5,4,9
2021-07-01,IT,49,92,73,5,8,11,7
2021-08-01,IT,50,54,35,0,0,14,0
2021-09-01,IT,43,40,28,4,0,7,0
2021-10-01,IT,46,34,23,0,4,0,0
2021-11-01,IT,36,28,20,3,5,0,0
2021-12-01,IT,38,29,20,0,0,0,6
2022-01-01,IT,31,27,15,4,9,0,0
2022-02-01,IT,31,35,22,2,9,0,0
2022-03-01,IT,34,44,30,2,7,5,5
2022-04-01,IT,42,62,37,3,0,9,9
2022-05-01,IT,50,54,31,3,0,14,4
2022-06-01,IT,71,63,42,12,7,18,7
2022-07-01,IT,69,67,37,4,4,21,4
2022-08-01,IT,58,52,31,4,3,7,0
2022-09-01,IT,58,42,26,3,10,7,4
2004-01-01,LT,0,0,0,0,0,0,0
2004-02-01,LT,90,70,0,0,0,0,59
2004-03-01,LT,0,0,0,0,0,0,0
2004-04-01,LT,0,0,0,0,0,0,0
2004-05-01,LT,55,0,0,0,0,0,0
2004-06-01,LT,0,0,0,0,0,0,0
2004-07-01,LT,0,76,0,0,0,100,0
2004-08-01,LT,0,100,41,0,0,54,0
2004-09-01,LT,38,50,100,0,28,0,0
2004-10-01,LT,62,55,0,0,100,0,100
2004-11-01,LT,44,0,0,0,55,0,0
2004-12-01,LT,0,29,0,97,0,0,0
2005-01-01,LT,26,0,34,0,0,27,78
2005-02-01,LT,74,33,0,100,0,0,0
2005-03-01,LT,28,24,0,58,75,0,0
2005-04-01,LT,92,0,0,0,0,0,0
2005-05-01,LT,31,0,43,0,0,0,52
2005-06-01,LT,0,0,0,0,52,0,0
2005-07-01,LT,55,0,0,0,0,0,0
2005-08-01,LT,100,0,0,53,0,0,0
2005-09-01,LT,0,0,0,0,0,0,0
2005-10-01,LT,0,49,0,0,0,0,0
2005-11-01,LT,28,0,0,25,0,0,0
2005-12-01,LT,0,0,0,56,0,0,0
2006-01-01,LT,0,0,0,0,0,0,0
2006-02-01,LT,27,27,0,0,0,0,0
2006-03-01,LT,27,15,0,0,0,44,0
2006-04-01,LT,27,0,22,29,0,0,0
2006-05-01,LT,29,21,0,0,0,0,0
2006-06-01,LT,76,0,0,0,0,0,0
2006-07-01,LT,29,19,0,31,0,0,0
2006-08-01,LT,34,0,0,33,0,15,35
2006-09-01,LT,0,0,0,21,0,0,0
2006-10-01,LT,17,30,0,0,14,0,0
2006-11-01,LT,0,0,0,26,0,0,0
2006-12-01,LT,26,0,0,0,0,0,0
2007-01-01,LT,34,25,0,0,0,0,0
2007-02-01,LT,0,0,0,40,0,0,0
2007-03-01,LT,15,0,0,0,0,0,0
2007-04-01,LT,25,0,0,0,0,19,0
2007-05-01,LT,22,0,16,0,0,0,0
2007-06-01,LT,0,0,0,0,0,0,44
2007-07-01,LT,23,42,0,0,0,0,0
2007-08-01,LT,21,0,0,0,0,0,0
2007-09-01,LT,8,0,15,0,0,0,0
2007-10-01,LT,0,0,0,0,0,0,0
2007-11-01,LT,15,27,10,0,11,0,0
2007-12-01,LT,9,9,0,0,0,0,0
2008-01-01,LT,20,0,0,0,0,0,0
2008-02-01,LT,28,0,0,0,12,0,0
2008-03-01,LT,21,0,0,0,0,0,0
2008-04-01,LT,28,13,0,0,0,0,0
2008-05-01,LT,13,11,0,20,0,0,24
2008-06-01,LT,23,0,0,0,0,10,0
2008-07-01,LT,7,0,17,22,0,0,15
2008-08-01,LT,13,0,0,0,11,0,0
2008-09-01,LT,18,11,0,0,0,9,0
2008-10-01,LT,17,0,28,0,0,11,0
2008-11-01,LT,21,0,0,19,20,0,0
2008-12-01,LT,0,0,0,20,0,16,0
2009-01-01,LT,7,15,0,0,0,0,0
2009-02-01,LT,23,0,0,12,0,0,0
2009-03-01,LT,8,0,0,12,0,0,0
2009-04-01,LT,0,0,0,0,9,0,0
2009-05-01,LT,0,0,0,0,0,0,0
2009-06-01,LT,15,0,7,0,9,13,0
2009-07-01,LT,10,0,0,32,0,0,0
2009-08-01,LT,14,0,14,0,13,0,28
2009-09-01,LT,16,0,0,0,8,0,0
2009-10-01,LT,8,0,0,17,0,0,0
2009-11-01,LT,16,0,0,0,13,0,0
2009-12-01,LT,11,7,0,0,0,0,10
2010-01-01,LT,14,0,0,0,0,0,0
2010-02-01,LT,11,0,0,9,0,0,0
2010-03-01,LT,12,0,0,0,0,0,0
2010-04-01,LT,13,0,0,0,0,0,0
2010-05-01,LT,14,0,0,0,0,0,0
2010-06-01,LT,13,0,0,0,0,0,0
2010-07-01,LT,5,0,0,0,0,0,9
2010-08-01,LT,8,0,0,0,23,0,16
2010-09-01,LT,4,0,0,0,0,0,34
2010-10-01,LT,13,0,0,0,9,0,0
2010-11-01,LT,10,0,0,9,8,0,0
2010-12-01,LT,9,0,10,0,0,0,0
2011-01-01,LT,14,0,0,0,0,0,0
2011-02-01,LT,9,0,0,15,0,0,0
2011-03-01,LT,5,0,0,6,6,0,0
2011-04-01,LT,18,8,0,0,0,0,0
2011-05-01,LT,7,8,0,0,0,0,6
2011-06-01,LT,3,0,0,0,0,5,0
2011-07-01,LT,16,0,0,0,0,5,0
2011-08-01,LT,10,7,0,0,4,0,0
2011-09-01,LT,8,0,0,5,10,9,0
2011-10-01,LT,14,0,0,0,5,13,0
2011-11-01,LT,8,0,0,0,0,0,0
2011-12-01,LT,5,0,0,0,0,0,0
2012-01-01,LT,10,0,0,0,0,0,0
2012-02-01,LT,7,0,0,0,0,0,0
2012-03-01,LT,12,0,0,7,0,0,0
2012-04-01,LT,12,0,0,0,0,4,0
2012-05-01,LT,0,4,4,0,0,0,15
2012-06-01,LT,17,0,0,0,0,0,0
2012-07-01,LT,4,0,0,0,0,8,0
2012-08-01,LT,19,0,3,5,0,0,5
2012-09-01,LT,15,0,0,0,0,0,0
2012-10-01,LT,12,11,0,0,0,0,0
2012-11-01,LT,9,4,0,7,0,7,0
2012-12-01,LT,11,0,0,0,8,5,0
2013-01-01,LT,10,0,3,0,0,0,0
2013-02-01,LT,18,0,0,5,0,0,0
2013-03-01,LT,10,0,3,0,0,0,0
2013-04-01,LT,10,0,0,0,0,0,15
2013-05-01,LT,10,0,0,0,0,0,0
2013-06-01,LT,14,0,0,0,0,0,0
2013-07-01,LT,16,0,0,0,0,0,0
2013-08-01,LT,11,9,0,0,0,0,0
2013-09-01,LT,17,0,0,0,4,0,0
2013-10-01,LT,20,0,0,0,0,0,0
2013-11-01,LT,8,0,0,4,2,8,0
2013-12-01,LT,15,0,0,0,0,0,0
2014-01-01,LT,11,0,0,0,0,0,0
2014-02-01,LT,14,5,0,0,0,0,0
2014-03-01,LT,15,3,0,0,0,0,0
2014-04-01,LT,17,5,7,0,0,0,0
2014-05-01,LT,14,0,0,0,0,0,0
2014-06-01,LT,12,0,7,0,0,12,0
2014-07-01,LT,24,0,5,0,0,0,0
2014-08-01,LT,16,0,0,0,7,12,0
2014-09-01,LT,16,0,0,0,3,7,0
2014-10-01,LT,14,0,0,0,0,0,0
2014-11-01,LT,15,0,4,0,0,0,0
2014-12-01,LT,10,0,0,4,0,0,0
2015-01-01,LT,12,9,0,0,3,0,0
2015-02-01,LT,15,0,0,0,0,0,0
2015-03-01,LT,8,0,6,0,0,0,0
2015-04-01,LT,12,4,0,0,0,0,0
2015-05-01,LT,13,0,8,0,0,3,0
2015-06-01,LT,16,3,0,0,0,4,0
2015-07-01,LT,21,0,0,0,0,0,0
2015-08-01,LT,18,0,0,0,0,0,0
2015-09-01,LT,18,3,0,0,0,0,14
2015-10-01,LT,14,0,6,0,0,0,0
2015-11-01,LT,15,0,3,0,0,0,0
2015-12-01,LT,10,0,0,0,0,0,0
2016-01-01,LT,16,0,0,0,0,0,0
2016-02-01,LT,14,0,3,0,0,0,0
2016-03-01,LT,10,10,7,0,0,0,0
2016-04-01,LT,9,0,0,0,3,3,4
2016-05-01,LT,16,0,2,0,0,0,0
2016-06-01,LT,20,0,4,0,0,0,0
2016-07-01,LT,18,0,0,7,0,0,0
2016-08-01,LT,19,0,0,0,0,0,0
2016-09-01,LT,28,0,0,0,5,0,0
2016-10-01,LT,19,0,0,0,0,0,11
2016-11-01,LT,13,0,0,0,0,4,0
2016-12-01,LT,21,0,6,0,0,0,0
2017-01-01,LT,11,0,10,9,7,0,0
2017-02-01,LT,15,0,0,0,4,0,0
2017-03-01,LT,17,0,0,0,5,3,4
2017-04-01,LT,18,0,0,0,0,3,0
2017-05-01,LT,12,0,0,5,0,0,0
2017-06-01,LT,13,0,3,0,0,0,3
2017-07-01,LT,16,0,0,0,0,0,0
2017-08-01,LT,19,0,0,0,0,3,0
2017-09-01,LT,17,0,0,3,0,0,3
2017-10-01,LT,19,3,0,0,0,0,0
2017-11-01,LT,15,0,0,0,0,0,0
2017-12-01,LT,16,3,6,0,0,7,0
2018-01-01,LT,8,0,0,0,0,0,0
2018-02-01,LT,6,0,0,0,0,7,0
2018-03-01,LT,14,4,0,0,2,0,0
2018-04-01,LT,15,0,7,0,0,0,0
2018-05-01,LT,14,0,0,0,2,3,0
2018-06-01,LT,18,0,0,0,0,0,0
2018-07-01,LT,23,0,0,0,0,0,0
2018-08-01,LT,29,3,0,0,0,3,0
2018-09-01,LT,8,2,4,3,0,0,0
2018-10-01,LT,10,5,0,0,0,0,0
2018-11-01,LT,9,0,8,0,0,0,0
2018-12-01,LT,12,2,0,0,0,0,0
2019-01-01,LT,15,0,0,0,0,4,0
2019-02-01,LT,15,0,0,0,2,0,0
2019-03-01,LT,16,0,3,5,0,0,0
2019-04-01,LT,14,0,0,0,0,0,0
2019-05-01,LT,18,0,3,0,0,0,0
2019-06-01,LT,12,0,6,0,0,0,0
2019-07-01,LT,13,0,3,0,0,0,0
2019-08-01,LT,25,5,5,0,0,0,0
2019-09-01,LT,20,0,0,0,0,0,0
2019-10-01,LT,10,3,0,3,0,0,0
2019-11-01,LT,13,3,0,0,6,4,0
2019-12-01,LT,18,0,0,0,0,2,0
2020-01-01,LT,12,3,0,3,4,0,0
2020-02-01,LT,11,0,0,0,0,0,0
2020-03-01,LT,14,0,2,0,0,0,0
2020-04-01,LT,13,0,0,0,0,0,0
2020-05-01,LT,14,3,0,0,0,0,0
2020-06-01,LT,20,0,0,3,0,0,2
2020-07-01,LT,21,11,0,0,0,2,0
2020-08-01,LT,18,3,0,0,0,0,0
2020-09-01,LT,12,0,0,0,0,0,0
2020-10-01,LT,12,3,0,0,0,0,0
2020-11-01,LT,9,0,0,0,0,4,0
2020-12-01,LT,18,3,3,0,0,0,0
2021-01-01,LT,7,0,0,0,0,0,0
2021-02-01,LT,10,0,0,0,0,3,0
2021-03-01,LT,13,0,0,0,0,0,0
2021-04-01,LT,15,5,0,0,0,0,0
2021-05-01,LT,14,2,3,0,2,4,0
2021-06-01,LT,18,10,3,0,0,0,5
2021-07-01,LT,28,7,2,5,2,0,3
2021-08-01,LT,29,0,3,0,0,0,0
2021-09-01,LT,34,0,5,0,0,0,0
2021-10-01,LT,10,0,2,0,0,0,0
2021-11-01,LT,24,0,0,0,0,0,0
2021-12-01,LT,20,0,5,0,0,0,0
2022-01-01,LT,17,0,0,0,0,0,0
2022-02-01,LT,19,2,0,0,0,0,0
2022-03-01,LT,24,2,0,0,0,0,0
2022-04-01,LT,19,0,0,0,3,3,0
2022-05-01,LT,22,2,0,0,0,0,0
2022-06-01,LT,25,0,4,0,0,0,0
2022-07-01,LT,28,0,0,4,0,0,0
2022-08-01,LT,26,6,3,5,0,3,0
2022-09-01,LT,22,6,0,7,0,4,0
2004-01-01,LU,50,34,0,0,0,0,0
2004-02-01,LU,30,100,0,0,0,0,0
2004-03-01,LU,31,0,57,0,0,100,100
2004-04-01,LU,45,38,0,0,0,0,0
2004-05-01,LU,45,66,38,0,0,0,0
2004-06-01,LU,34,62,0,0,0,0,0
2004-07-01,LU,48,0,0,0,0,64,0
2004-08-01,LU,53,25,0,0,0,0,0
2004-09-01,LU,46,37,0,0,0,68,0
2004-10-01,LU,42,29,0,0,0,0,0
2004-11-01,LU,36,18,0,0,100,0,38
2004-12-01,LU,35,0,0,0,0,0,31
2005-01-01,LU,47,0,0,0,0,0,0
2005-02-01,LU,55,74,0,96,0,0,0
2005-03-01,LU,43,16,10,0,0,0,0
2005-04-01,LU,40,0,100,0,0,0,0
2005-05-01,LU,49,0,0,0,89,0,0
2005-06-01,LU,51,0,0,0,0,0,0
2005-07-01,LU,45,15,0,0,74,0,0
2005-08-01,LU,45,31,0,0,0,0,0
2005-09-01,LU,41,67,0,0,0,18,0
2005-10-01,LU,37,51,0,0,0,0,0
2005-11-01,LU,48,15,0,0,0,22,0
2005-12-01,LU,37,15,0,0,0,0,0
2006-01-01,LU,40,17,0,0,0,0,0
2006-02-01,LU,40,22,0,0,0,0,0
2006-03-01,LU,43,0,0,0,0,0,25
2006-04-01,LU,50,14,0,64,0,0,0
2006-05-01,LU,50,27,0,0,26,0,0
2006-06-01,LU,52,47,15,86,0,0,0
2006-07-01,LU,53,26,0,0,0,15,40
2006-08-01,LU,41,29,0,0,35,16,0
2006-09-01,LU,47,11,11,0,0,18,0
2006-10-01,LU,47,38,6,100,0,0,0
2006-11-01,LU,46,31,0,0,27,0,13
2006-12-01,LU,47,49,0,0,21,0,16
2007-01-01,LU,50,35,0,0,23,0,0
2007-02-01,LU,46,38,7,59,0,0,0
2007-03-01,LU,47,19,0,72,0,0,0
2007-04-01,LU,50,24,0,0,0,0,0
2007-05-01,LU,60,26,6,0,0,15,15
2007-06-01,LU,56,29,10,0,0,0,0
2007-07-01,LU,53,24,10,36,0,0,44
2007-08-01,LU,58,20,0,50,0,0,0
2007-09-01,LU,64,0,6,0,23,0,0
2007-10-01,LU,45,0,0,0,0,0,0
2007-11-01,LU,49,0,0,0,0,0,10
2007-12-01,LU,35,14,0,0,0,0,0
2008-01-01,LU,46,24,4,0,0,0,0
2008-02-01,LU,51,14,5,0,54,9,0
2008-03-01,LU,52,20,0,0,0,0,0
2008-04-01,LU,50,16,6,41,0,0,0
2008-05-01,LU,52,8,10,0,0,0,0
2008-06-01,LU,58,20,0,0,15,15,0
2008-07-01,LU,54,22,0,0,0,0,0
2008-08-01,LU,52,19,0,0,14,0,0
2008-09-01,LU,46,24,4,0,0,0,8
2008-10-01,LU,48,29,5,0,0,0,0
2008-11-01,LU,51,17,5,0,0,0,0
2008-12-01,LU,47,28,9,0,0,0,0
2009-01-01,LU,45,23,0,0,0,0,0
2009-02-01,LU,46,14,0,0,0,0,0
2009-03-01,LU,42,19,3,0,0,0,0
2009-04-01,LU,56,15,0,48,0,0,0
2009-05-01,LU,51,25,9,0,0,0,0
2009-06-01,LU,61,9,0,0,0,0,13
2009-07-01,LU,55,32,5,32,0,10,17
2009-08-01,LU,50,27,6,0,11,0,0
2009-09-01,LU,57,30,0,0,16,0,0
2009-10-01,LU,53,27,3,0,0,0,10
2009-11-01,LU,54,11,3,0,0,9,0
2009-12-01,LU,71,18,0,0,0,16,0
2010-01-01,LU,61,18,0,0,0,0,0
2010-02-01,LU,61,29,0,0,24,0,0
2010-03-01,LU,61,33,0,0,0,0,0
2010-04-01,LU,67,31,6,0,0,0,0
2010-05-01,LU,64,18,5,0,0,20,0
2010-06-01,LU,71,4,5,0,0,0,0
2010-07-01,LU,63,24,7,0,0,0,0
2010-08-01,LU,67,21,3,0,0,0,0
2010-09-01,LU,54,21,6,0,0,10,6
2010-10-01,LU,68,20,3,0,0,15,0
2010-11-01,LU,65,15,0,25,0,12,0
2010-12-01,LU,85,29,10,0,10,7,0
2011-01-01,LU,69,16,0,0,0,0,9
2011-02-01,LU,66,21,5,0,0,0,0
2011-03-01,LU,68,19,6,0,12,10,0
2011-04-01,LU,72,19,4,0,0,5,0
2011-05-01,LU,69,18,5,16,0,0,0
2011-06-01,LU,81,23,8,0,0,0,5
2011-07-01,LU,76,19,2,0,16,0,0
2011-08-01,LU,71,25,0,0,0,0,0
2011-09-01,LU,69,24,0,0,0,0,0
2011-10-01,LU,68,26,0,0,6,0,0
2011-11-01,LU,67,21,2,0,0,0,0
2011-12-01,LU,62,25,3,12,0,0,0
2012-01-01,LU,70,9,0,13,0,0,0
2012-02-01,LU,68,21,0,0,0,0,9
2012-03-01,LU,64,21,5,0,0,0,3
2012-04-01,LU,73,22,0,22,0,0,0
2012-05-01,LU,66,22,5,0,0,0,0
2012-06-01,LU,77,24,2,0,0,0,0
2012-07-01,LU,75,21,0,0,0,0,0
2012-08-01,LU,77,18,5,22,0,0,0
2012-09-01,LU,73,24,3,0,11,0,8
2012-10-01,LU,75,21,3,0,0,0,0
2012-11-01,LU,74,16,3,0,0,7,0
2012-12-01,LU,77,18,0,0,6,6,0
2013-01-01,LU,68,19,3,0,0,0,4
2013-02-01,LU,74,23,4,0,0,0,0
2013-03-01,LU,81,23,1,0,0,5,0
2013-04-01,LU,73,19,3,0,0,0,4
2013-05-01,LU,81,22,0,25,0,0,0
2013-06-01,LU,88,19,0,0,0,0,0
2013-07-01,LU,86,15,0,0,0,0,0
2013-08-01,LU,85,12,0,0,8,0,4
2013-09-01,LU,80,26,5,0,0,3,0
2013-10-01,LU,80,21,3,0,0,5,4
2013-11-01,LU,76,19,3,0,0,0,0
2013-12-01,LU,74,13,0,0,0,0,0
2014-01-01,LU,75,16,2,0,0,0,0
2014-02-01,LU,76,25,7,40,0,0,0
2014-03-01,LU,74,21,4,10,0,4,0
2014-04-01,LU,75,19,4,0,0,0,0
2014-05-01,LU,82,19,3,15,0,0,0
2014-06-01,LU,89,22,0,38,0,0,0
2014-07-01,LU,88,20,2,15,0,0,0
2014-08-01,LU,84,36,3,0,0,0,0
2014-09-01,LU,79,21,4,13,0,0,7
2014-10-01,LU,79,20,2,0,6,3,0
2014-11-01,LU,76,21,3,0,0,6,0
2014-12-01,LU,66,14,2,12,0,0,4
2015-01-01,LU,72,14,0,0,0,0,0
2015-02-01,LU,78,17,7,0,0,0,3
2015-03-01,LU,74,20,0,14,0,0,3
2015-04-01,LU,80,18,5,36,0,4,0
2015-05-01,LU,84,17,2,0,0,0,3
2015-06-01,LU,92,24,2,0,0,0,0
2015-07-01,LU,92,26,6,0,0,0,0
2015-08-01,LU,94,19,5,11,0,0,0
2015-09-01,LU,84,16,1,10,6,0,0
2015-10-01,LU,75,15,2,0,0,0,0
2015-11-01,LU,80,11,0,0,0,3,0
2015-12-01,LU,79,14,3,0,0,0,0
2016-01-01,LU,79,18,2,10,0,0,0
2016-02-01,LU,75,16,1,0,0,0,0
2016-03-01,LU,77,21,1,0,6,4,0
2016-04-01,LU,84,17,1,9,13,0,0
2016-05-01,LU,91,20,1,0,0,0,3
2016-06-01,LU,87,15,0,0,0,0,0
2016-07-01,LU,92,12,11,0,8,0,3
2016-08-01,LU,89,20,3,0,0,0,0
2016-09-01,LU,83,18,0,0,14,4,0
2016-10-01,LU,81,19,0,0,0,0,0
2016-11-01,LU,86,27,0,34,0,0,0
2016-12-01,LU,77,12,0,0,0,0,0
2017-01-01,LU,83,20,2,0,0,0,0
2017-02-01,LU,88,18,0,0,5,0,0
2017-03-01,LU,90,16,3,0,0,0,0
2017-04-01,LU,90,18,3,0,4,0,0
2017-05-01,LU,86,23,3,0,10,4,0
2017-06-01,LU,96,22,2,0,7,0,0
2017-07-01,LU,98,20,0,0,5,0,12
2017-08-01,LU,96,17,3,32,0,5,0
2017-09-01,LU,85,23,3,0,7,3,0
2017-10-01,LU,87,24,3,0,0,0,0
2017-11-01,LU,84,21,2,0,0,3,0
2017-12-01,LU,90,21,4,0,0,0,0
2018-01-01,LU,85,18,3,0,0,0,0
2018-02-01,LU,83,18,3,13,6,0,0
2018-03-01,LU,84,26,3,0,5,0,0
2018-04-01,LU,94,25,3,0,4,5,0
2018-05-01,LU,90,21,4,0,0,0,0
2018-06-01,LU,96,27,3,0,13,8,0
2018-07-01,LU,98,16,0,11,0,0,0
2018-08-01,LU,97,18,3,10,0,0,0
2018-09-01,LU,90,23,4,0,0,0,0
2018-10-01,LU,87,22,2,0,0,0,5
2018-11-01,LU,82,23,2,0,4,0,0
2018-12-01,LU,84,26,3,11,5,0,3
2019-01-01,LU,84,20,0,0,0,0,0
2019-02-01,LU,80,16,0,0,5,0,0
2019-03-01,LU,82,17,3,0,6,0,0
2019-04-01,LU,85,22,2,0,0,2,0
2019-05-01,LU,90,26,0,0,10,0,0
2019-06-01,LU,96,25,4,0,0,4,2
2019-07-01,LU,95,22,2,10,0,0,0
2019-08-01,LU,98,13,1,18,0,0,0
2019-09-01,LU,89,20,2,9,0,0,0
2019-10-01,LU,81,25,0,0,0,0,0
2019-11-01,LU,83,18,0,0,4,0,2
2019-12-01,LU,79,17,3,0,4,0,5
2020-01-01,LU,81,12,2,0,0,0,0
2020-02-01,LU,80,18,0,0,0,0,0
2020-03-01,LU,52,14,0,8,9,0,0
2020-04-01,LU,32,9,2,0,6,0,4
2020-05-01,LU,50,13,2,0,9,0,0
2020-06-01,LU,68,15,1,0,0,0,0
2020-07-01,LU,86,16,3,0,0,0,0
2020-08-01,LU,83,9,0,8,0,0,0
2020-09-01,LU,75,11,0,0,0,0,5
2020-10-01,LU,66,14,2,0,0,5,0
2020-11-01,LU,54,7,3,0,0,0,0
2020-12-01,LU,51,4,0,0,6,6,0
2021-01-01,LU,51,6,0,0,0,7,0
2021-02-01,LU,52,14,2,0,0,0,0
2021-03-01,LU,55,9,0,0,4,0,4
2021-04-01,LU,60,7,0,0,0,3,0
2021-05-01,LU,70,7,0,0,0,0,2
2021-06-01,LU,77,11,1,0,0,0,0
2021-07-01,LU,81,10,0,0,5,0,0
2021-08-01,LU,89,14,3,0,0,2,3
2021-09-01,LU,78,19,2,9,0,0,0
2021-10-01,LU,77,14,5,8,5,2,0
2021-11-01,LU,75,9,3,0,0,0,0
2021-12-01,LU,64,11,0,9,0,0,2
2022-01-01,LU,74,15,0,8,0,0,2
2022-02-01,LU,76,13,2,0,0,4,0
2022-03-01,LU,77,15,1,13,0,3,0
2022-04-01,LU,85,23,2,10,0,0,0
2022-05-01,LU,89,14,0,0,0,0,0
2022-06-01,LU,94,26,0,0,0,0,0
2022-07-01,LU,91,16,0,0,0,0,0
2022-08-01,LU,100,15,1,0,0,0,0
2022-09-01,LU,89,16,0,12,3,5,0
2004-01-01,LV,0,0,0,0,0,39,0
2004-02-01,LV,73,100,0,33,0,0,0
2004-03-01,LV,72,0,0,0,0,0,0
2004-04-01,LV,0,0,0,0,0,29,0
2004-05-01,LV,0,0,99,0,0,100,0
2004-06-01,LV,73,0,0,0,52,0,0
2004-07-01,LV,100,0,0,100,0,0,0
2004-08-01,LV,0,0,0,0,0,0,0
2004-09-01,LV,0,0,0,0,0,0,0
2004-10-01,LV,0,25,0,0,0,0,51
2004-11-01,LV,0,0,0,0,0,0,0
2004-12-01,LV,0,0,88,0,0,0,66
2005-01-01,LV,49,0,0,0,46,0,0
2005-02-01,LV,0,25,0,38,0,37,0
2005-03-01,LV,0,0,69,0,0,21,0
2005-04-01,LV,21,0,0,0,0,19,65
2005-05-01,LV,53,19,0,0,0,0,0
2005-06-01,LV,38,0,100,0,0,0,0
2005-07-01,LV,0,0,0,0,0,41,0
2005-08-01,LV,0,22,0,0,0,0,0
2005-09-01,LV,0,0,0,0,100,0,0
2005-10-01,LV,30,0,0,75,0,0,0
2005-11-01,LV,0,0,0,0,0,0,61
2005-12-01,LV,13,0,47,0,0,0,0
2006-01-01,LV,29,0,0,0,0,0,0
2006-02-01,LV,0,0,0,0,0,0,0
2006-03-01,LV,27,24,0,0,0,0,0
2006-04-01,LV,0,0,0,0,0,0,0
2006-05-01,LV,0,0,0,0,25,0,0
2006-06-01,LV,0,15,0,0,30,0,0
2006-07-01,LV,41,12,23,19,18,0,54
2006-08-01,LV,25,0,0,0,24,19,71
2006-09-01,LV,13,0,0,34,0,0,0
2006-10-01,LV,56,0,0,0,0,0,0
2006-11-01,LV,13,0,0,0,0,0,0
2006-12-01,LV,7,0,0,0,24,0,0
2007-01-01,LV,25,0,0,0,0,0,0
2007-02-01,LV,18,0,0,0,20,0,0
2007-03-01,LV,20,0,0,16,41,9,0
2007-04-01,LV,15,0,25,0,0,0,100
2007-05-01,LV,42,0,20,0,0,0,0
2007-06-01,LV,24,0,0,0,0,0,0
2007-07-01,LV,24,0,13,0,0,28,0
2007-08-01,LV,11,0,0,0,0,0,20
2007-09-01,LV,21,0,0,0,0,0,0
2007-10-01,LV,19,10,30,0,0,0,0
2007-11-01,LV,28,0,0,22,0,0,0
2007-12-01,LV,7,0,19,0,0,0,0
2008-01-01,LV,21,0,14,0,0,0,0
2008-02-01,LV,22,0,0,0,0,0,0
2008-03-01,LV,14,0,30,22,0,0,0
2008-04-01,LV,9,8,0,0,0,0,0
2008-05-01,LV,18,0,0,0,0,0,12
2008-06-01,LV,12,0,0,0,0,10,26
2008-07-01,LV,15,10,14,10,21,0,0
2008-08-01,LV,18,0,0,0,8,31,0
2008-09-01,LV,12,0,0,0,0,0,0
2008-10-01,LV,19,7,0,6,0,0,0
2008-11-01,LV,6,0,0,7,0,0,0
2008-12-01,LV,15,0,23,0,0,6,0
2009-01-01,LV,21,12,0,0,0,0,0
2009-02-01,LV,16,0,0,0,0,0,0
2009-03-01,LV,17,0,0,0,0,15,13
2009-04-01,LV,20,0,0,0,0,0,0
2009-05-01,LV,13,0,0,0,0,0,0
2009-06-01,LV,22,18,0,0,19,0,0
2009-07-01,LV,18,0,0,0,8,9,0
2009-08-01,LV,34,0,0,0,0,0,19
2009-09-01,LV,9,0,0,0,8,0,0
2009-10-01,LV,15,0,0,0,0,0,0
2009-11-01,LV,25,7,8,8,0,0,15
2009-12-01,LV,15,0,0,30,0,0,0
2010-01-01,LV,14,0,0,0,0,0,0
2010-02-01,LV,10,6,0,12,0,0,0
2010-03-01,LV,4,7,0,0,10,5,0
2010-04-01,LV,20,0,0,0,0,0,0
2010-05-01,LV,22,5,0,0,0,0,14
2010-06-01,LV,26,5,0,0,0,0,0
2010-07-01,LV,15,8,0,0,0,0,0
2010-08-01,LV,13,21,0,0,0,0,0
2010-09-01,LV,13,0,0,0,0,0,19
2010-10-01,LV,0,0,0,7,0,0,17
2010-11-01,LV,9,0,0,0,0,0,0
2010-12-01,LV,18,0,11,0,11,0,0
2011-01-01,LV,14,0,0,0,0,0,0
2011-02-01,LV,10,0,8,0,0,4,10
2011-03-01,LV,7,0,0,0,0,0,36
2011-04-01,LV,12,7,0,0,0,0,7
2011-05-01,LV,12,0,10,0,0,0,0
2011-06-01,LV,8,0,0,0,0,0,0
2011-07-01,LV,14,0,6,0,0,0,0
2011-08-01,LV,12,5,0,0,4,0,0
